cgpa,technical_score,aptitude_score,communication_score,internship_count,project_count,experience_months,leadership_score,cultural_fit_score,success
9.48,76,61,1,4,5,14,2,1,0
7.56,71,82,7,2,2,24,3,2,1
7.66,95,64,8,2,6,22,9,9,1
5.54,80,61,2,1,6,21,3,8,0
7.24,98,67,8,1,5,25,5,8,1
7.66,42,68,9,4,2,32,2,9,1
6.21,67,52,6,2,6,10,4,7,0
6.35,49,57,5,0,2,9,7,9,0
6.89,90,41,9,3,2,24,7,2,1
5.1,74,68,9,2,4,23,3,6,1
6.61,68,60,1,2,6,32,5,3,0
6.06,93,54,3,1,6,16,1,6,0
6.64,54,91,9,3,4,23,1,3,1
5.6,72,66,2,4,5,1,5,8,0
9.45,46,89,4,2,4,31,9,4,0
7.97,51,70,4,4,6,23,1,6,0
8.4,88,54,2,2,6,8,1,9,0
8.95,69,90,3,4,7,3,4,2,0
7.49,60,62,3,3,5,16,4,2,0
5.43,70,63,1,1,4,16,2,7,0
7.69,97,83,6,3,1,29,9,2,1
7.93,63,52,8,0,1,10,9,2,1
8.73,59,61,3,1,5,20,2,4,0
7.16,76,82,5,3,4,20,9,9,1
5.64,43,76,1,0,4,17,6,8,0
6.42,67,72,7,2,2,28,8,2,1
6.82,83,95,1,2,6,23,4,8,0
8.23,59,42,9,4,3,9,2,4,1
7.85,99,93,8,1,7,16,2,2,1
6.78,63,58,7,2,5,17,9,7,1
9.93,89,62,7,1,3,19,1,6,1
8.03,88,68,5,2,3,17,7,5,1
6.19,90,69,5,4,5,16,3,1,1
5.51,71,78,5,3,4,8,3,2,0
5.76,80,83,1,4,5,13,2,8,0
6.23,75,86,8,0,3,28,6,1,1
5.8,97,64,1,2,6,30,2,3,0
5.93,92,76,4,0,7,3,4,2,0
6.43,73,86,9,0,7,17,9,5,1
5.87,75,47,9,1,6,19,9,4,1
9.48,41,81,5,2,6,8,6,7,0
5.4,54,97,4,0,4,12,4,5,0
7.62,73,55,3,3,1,14,7,8,0
7.05,75,47,3,0,5,26,1,4,0
9.91,45,40,5,3,7,14,4,6,0
5.56,78,83,1,1,6,27,5,4,0
6.99,81,44,5,0,5,18,8,2,0
9.85,90,42,6,4,7,25,2,1,1
9.33,90,40,7,1,6,25,5,1,1
9.09,97,43,9,3,7,24,6,8,1
6.29,93,79,3,1,4,25,5,4,0
5.85,51,74,2,0,1,25,9,5,0
8.34,42,71,3,2,1,27,1,8,0
9.65,84,81,9,2,6,17,3,7,1
7.78,57,73,7,3,7,31,2,8,1
7.86,79,82,9,3,4,2,3,8,1
6.4,60,64,2,2,2,1,9,6,0
8.85,54,49,5,3,5,32,9,2,1
5.94,72,60,4,1,5,18,2,6,0
6.62,74,85,2,4,3,16,3,1,0
7.13,65,78,9,4,4,32,4,1,1
7.54,47,66,9,1,7,11,9,3,1
6.21,75,66,6,4,3,2,3,3,1
5.57,87,41,6,0,6,25,7,5,1
8.05,69,80,8,1,7,34,3,1,1
6.44,62,87,6,3,3,7,7,6,0
7.91,81,52,1,1,1,35,7,7,0
5.77,83,48,4,2,5,6,9,3,0
7.41,53,91,7,3,7,35,2,4,1
7.66,53,75,2,2,3,15,6,3,0
5.26,41,61,9,3,1,23,9,1,1
6.68,94,81,8,4,4,0,2,8,1
5.67,76,65,8,1,3,24,2,2,1
5.32,44,97,7,0,6,9,5,1,0
9.95,77,93,4,3,6,15,8,8,1
6.61,84,51,2,3,6,15,9,7,0
9.05,80,56,3,2,7,7,2,7,0
6.27,93,53,6,4,5,28,5,4,1
8.41,99,53,5,2,3,27,7,9,1
8.8,86,96,8,2,4,5,6,6,1
7.98,53,73,6,4,3,15,6,2,1
7.36,95,92,6,0,5,19,7,1,1
7.06,78,96,1,2,1,15,3,1,0
6.74,64,59,4,2,5,6,3,9,0
9.65,59,50,5,3,6,13,9,4,1
9.15,41,55,3,4,7,25,8,5,0
9.83,78,90,9,1,1,25,5,3,1
5.62,45,70,1,0,7,13,6,4,0
8.65,56,94,6,0,6,6,1,8,0
9.69,98,45,6,4,2,32,1,4,1
5.91,64,95,5,3,5,25,4,9,1
5.33,96,58,5,3,5,19,2,9,1
8.71,67,76,5,4,4,2,7,6,1
7.87,41,97,6,3,3,3,2,2,0
9.21,74,43,8,0,1,25,2,7,1
5.7,76,86,2,0,7,10,5,9,0
8.98,44,43,6,1,1,1,4,6,0
6.01,40,59,1,4,4,13,8,3,0
5.82,79,49,4,2,4,29,4,7,1
5.82,51,63,3,2,7,11,6,5,0
9.07,95,93,9,1,3,25,5,1,1
8.33,75,74,3,1,7,32,2,3,0
7.62,84,65,6,3,7,12,8,5,1
6.79,62,76,1,1,6,13,2,7,0
9.39,86,77,6,1,3,23,9,3,1
6.96,70,60,4,2,5,33,9,6,1
9.08,50,93,8,3,6,25,3,5,1
7.2,49,79,9,1,2,20,4,1,1
6.88,42,78,4,1,3,27,8,6,0
7.31,93,60,6,3,4,35,9,8,1
6.51,53,49,1,4,6,1,3,1,0
8.74,55,77,4,3,3,8,5,2,0
7.51,49,85,7,2,1,22,8,4,1
6.16,68,43,1,4,7,14,3,2,0
9.5,49,99,8,0,2,12,7,9,1
6.92,51,96,6,3,5,22,8,8,1
7.72,69,84,5,2,7,16,3,8,0
9.53,80,59,9,4,1,1,2,4,1
8.12,40,56,2,3,1,19,7,5,0
5.58,44,94,5,1,2,19,9,4,0
9.7,59,46,6,3,5,2,1,9,1
8.14,47,43,7,0,4,11,3,2,0
6.67,82,68,5,3,6,1,5,8,0
5.7,51,53,9,4,5,35,3,2,1
8.97,40,42,1,4,3,13,1,1,0
8.1,96,63,7,3,1,15,7,3,1
7.67,93,76,7,4,3,18,7,9,1
9.47,59,55,4,1,4,33,8,3,1
8.94,67,97,9,3,3,5,5,9,1
5.76,96,94,5,1,5,12,5,7,0
6.56,82,91,4,1,3,35,5,1,1
6.24,76,43,7,2,4,21,1,5,1
8.72,86,95,4,3,4,17,5,9,1
5.17,76,63,3,4,4,11,6,3,0
7.85,51,73,9,1,5,29,1,9,1
8.81,76,69,8,2,4,6,7,5,1
9.38,88,57,1,3,1,31,1,9,0
6.71,88,58,7,3,7,18,2,6,1
9.11,95,70,9,0,4,5,2,9,1
5.55,83,99,8,0,3,19,5,7,1
9.23,95,99,8,1,6,26,7,7,1
5.64,67,58,6,0,3,6,1,8,0
6.99,86,88,4,1,6,4,1,7,0
8.99,54,85,8,4,3,10,1,9,1
5.75,45,58,3,1,5,14,6,9,0
6.15,83,61,9,0,3,2,2,6,1
8.61,98,63,2,4,5,4,1,7,0
8.6,59,84,2,0,5,22,6,2,0
8.21,89,51,7,1,4,8,2,9,1
8.47,53,69,4,2,1,14,6,1,0
7.71,41,97,8,3,6,2,8,1,1
6.26,48,77,9,0,4,28,2,3,1
6.73,76,92,7,1,4,5,9,6,1
5.91,59,70,5,4,7,16,8,5,0
9.54,65,75,8,0,5,25,1,2,1
7.92,68,58,4,0,5,20,7,9,0
7.0,40,87,2,3,6,7,6,4,0
7.31,94,84,6,1,3,20,6,4,1
9.74,74,75,9,2,3,10,6,5,1
5.77,45,69,1,4,4,7,6,8,0
7.93,76,94,7,1,2,23,7,4,1
7.53,92,88,9,4,2,34,3,5,1
8.06,98,94,9,0,3,13,6,4,1
5.09,44,72,3,3,2,13,3,6,0
9.36,72,57,5,3,7,9,7,3,1
9.66,88,91,8,2,3,11,7,8,1
7.83,90,88,8,3,5,33,8,6,1
8.48,53,98,4,0,4,9,2,5,0
9.61,51,67,1,2,1,16,9,2,0
8.54,81,98,1,1,4,16,5,7,0
5.76,59,86,4,3,3,2,9,2,0
7.88,92,50,6,2,7,30,5,1,1
8.03,89,96,8,0,3,0,7,7,1
7.12,63,99,6,4,4,11,9,5,1
8.68,98,93,9,4,7,3,4,1,1
9.67,82,84,9,0,7,12,2,4,1
9.63,73,72,2,0,7,33,9,4,0
7.25,64,56,1,4,6,20,2,7,0
5.57,89,45,2,2,3,21,3,9,0
9.92,68,43,5,4,2,3,2,2,1
9.19,96,59,4,0,2,17,3,1,1
5.62,78,87,4,3,3,4,6,2,0
9.6,70,86,9,1,3,18,3,7,1
9.35,95,66,8,3,6,1,8,6,1
7.59,86,54,6,3,2,11,6,4,1
7.96,82,45,1,0,3,16,7,1,0
7.0,89,86,2,4,3,9,1,1,0
5.27,62,53,6,2,6,33,3,5,1
6.68,83,99,2,3,6,5,3,1,0
9.01,77,50,5,4,4,7,2,7,1
5.02,59,78,5,2,6,10,7,1,0
6.67,62,48,6,3,1,11,9,1,1
6.99,84,65,6,2,2,8,4,2,1
7.69,91,55,6,4,4,1,5,3,1
9.6,55,44,2,1,1,7,3,1,0
6.73,89,96,3,4,3,10,9,9,0
6.73,81,91,6,0,3,35,4,8,1
8.69,99,49,8,2,4,9,5,5,1
7.26,94,89,1,1,6,20,1,2,0
6.12,47,42,1,2,7,19,2,5,0
7.26,89,52,2,2,7,7,9,6,0
5.7,60,82,6,3,3,35,2,1,1
5.88,40,88,9,0,7,28,5,4,1
7.49,94,69,4,2,5,11,8,9,0
7.09,47,93,3,4,4,13,3,2,0
9.57,68,84,8,4,1,20,6,5,1
6.81,71,45,9,3,4,21,4,1,1
7.9,77,56,5,0,2,20,7,4,0
8.16,44,98,9,0,6,29,3,4,1
5.07,86,84,2,4,6,19,6,6,0
8.32,61,90,3,1,4,23,9,9,0
5.89,86,92,7,3,3,22,1,3,1
9.81,73,58,7,3,3,6,3,9,1
5.74,40,81,6,4,5,8,2,6,0
7.07,94,74,6,4,5,0,8,7,1
5.43,94,85,2,1,6,25,7,2,0
9.98,65,65,6,1,5,21,2,6,1
7.51,82,90,4,0,1,9,6,6,0
7.98,49,44,3,3,5,5,3,2,0
5.34,69,68,2,3,1,16,8,2,0
8.75,89,76,1,4,5,23,3,2,0
6.05,57,59,5,0,6,9,9,1,0
9.49,56,88,2,3,6,7,1,5,0
6.03,65,60,2,0,1,20,5,8,0
5.95,47,49,7,0,4,5,3,2,0
5.18,86,44,8,4,6,20,6,5,1
7.36,79,75,8,0,4,23,2,8,1
7.82,88,45,4,1,3,32,9,5,1
5.33,51,65,1,1,1,17,6,2,0
8.88,66,43,7,2,7,27,7,3,1
7.27,47,78,1,4,6,31,5,6,0
7.62,64,78,4,2,2,11,9,5,0
7.2,85,89,8,1,3,26,1,4,1
7.0,43,74,2,2,4,9,5,4,0
7.8,72,40,6,4,6,31,6,5,1
5.78,40,63,6,4,1,25,7,2,1
5.91,58,96,9,0,7,24,4,9,1
9.31,70,75,5,3,5,10,1,2,1
9.73,55,45,4,0,7,22,8,2,0
6.87,53,80,5,4,2,33,4,9,1
6.35,92,93,5,1,4,22,3,3,1
8.22,87,85,8,1,3,28,7,7,1
7.04,44,99,8,0,7,30,2,4,1
5.13,80,83,2,4,1,6,8,6,0
5.78,65,99,7,1,2,32,6,4,1
8.58,67,96,8,4,1,20,7,7,1
8.29,41,70,6,1,6,1,5,1,0
5.14,89,59,5,4,5,17,9,3,1
6.11,45,63,9,2,3,32,5,3,1
6.16,48,64,3,4,1,33,5,1,0
8.36,72,75,4,4,4,19,3,6,1
5.1,80,60,9,0,6,34,1,9,1
5.52,64,69,6,2,6,17,2,8,0
9.0,87,63,8,3,3,23,8,7,1
5.89,52,83,7,0,6,7,1,8,0
8.26,48,81,2,3,4,29,7,6,0
6.19,92,69,3,1,1,9,5,9,0
5.5,52,61,1,3,3,22,3,3,0
6.22,70,67,9,4,6,10,7,9,1
8.61,80,46,7,3,6,1,9,4,1
9.28,50,74,1,0,4,25,2,7,0
9.15,43,94,3,0,5,35,8,9,0
6.99,73,67,4,3,5,32,9,2,1
8.34,77,53,4,0,7,12,3,2,0
6.02,85,95,5,0,6,24,2,9,0
6.47,43,49,3,3,1,3,7,3,0
9.48,77,55,3,2,3,18,5,9,0
5.07,58,55,1,2,6,17,5,5,0
5.43,45,93,7,1,2,29,5,6,1
6.04,73,70,1,0,3,18,4,2,0
5.13,57,81,2,3,7,22,5,8,0
5.91,52,64,4,0,5,15,4,9,0
7.92,80,52,4,4,6,0,6,2,0
7.11,62,45,5,0,4,11,4,6,0
9.46,58,83,2,0,2,23,2,6,0
9.09,84,48,4,2,6,33,9,8,1
6.71,50,84,1,3,7,7,2,5,0
6.3,40,75,2,0,1,17,9,9,0
6.9,63,95,1,2,2,4,6,1,0
7.95,93,82,4,1,7,25,9,9,1
6.34,46,59,4,2,6,29,9,7,0
8.12,64,57,7,2,1,12,3,4,1
7.05,60,97,9,2,2,18,1,3,1
7.76,54,82,9,0,1,28,1,6,1
7.18,40,96,5,0,1,2,3,1,0
6.47,51,60,1,1,2,25,5,3,0
9.74,97,43,1,4,2,11,3,2,0
8.82,46,89,6,4,1,1,9,9,0
5.7,54,72,2,4,7,10,9,3,0
9.34,60,66,8,1,5,27,3,2,1
7.44,58,46,9,4,2,17,3,4,1
9.47,99,45,4,4,6,12,5,2,1
9.0,68,54,5,2,3,21,2,1,1
7.13,64,57,8,0,4,11,6,6,1
5.11,72,71,3,0,1,1,7,8,0
6.34,88,95,5,2,1,6,9,2,0
7.71,71,50,3,2,4,25,6,9,0
8.17,88,59,3,2,5,25,3,3,1
6.29,74,63,3,0,4,23,5,8,0
5.7,83,54,7,4,2,11,4,8,1
9.17,77,87,7,2,4,15,5,3,1
9.92,65,46,7,1,1,22,8,3,1
7.63,50,60,8,2,4,8,8,6,1
5.86,74,81,5,3,3,31,6,1,1
6.36,47,65,5,2,6,14,1,4,0
5.09,85,83,4,0,2,12,8,1,0
9.57,53,95,7,2,4,4,8,3,1
5.59,49,53,4,3,1,10,2,9,0
7.88,41,96,2,1,7,9,4,5,0
6.37,85,76,4,4,6,12,2,5,1
7.77,48,97,8,2,2,14,4,4,1
8.26,42,60,9,3,1,6,7,3,1
9.15,60,57,3,3,5,27,9,5,0
6.03,65,44,7,1,3,31,8,4,1
5.05,47,42,9,0,5,34,9,8,1
5.68,87,62,4,2,3,14,8,4,0
9.5,41,65,3,3,4,35,2,8,0
9.37,45,76,5,1,2,20,7,6,0
7.99,67,63,1,4,4,5,2,5,0
8.0,92,88,3,3,3,0,2,4,0
8.33,68,58,8,1,3,3,4,4,1
5.88,65,90,8,0,3,10,1,4,1
9.57,64,64,4,0,6,25,5,9,0
7.09,51,60,2,3,1,22,6,4,0
6.92,44,51,8,3,2,28,9,9,1
7.59,73,96,8,2,4,20,8,6,1
5.23,87,80,4,1,4,26,2,7,0
5.83,76,72,3,3,5,12,1,3,0
8.69,54,89,2,2,3,22,2,8,0
5.41,83,92,9,2,7,15,7,3,1
8.02,75,43,1,3,3,29,4,1,0
6.23,54,81,7,0,3,3,5,5,0
6.95,82,96,5,1,7,15,7,2,0
6.44,87,46,8,1,4,30,3,6,1
6.78,62,61,4,0,5,24,2,9,0
8.6,45,94,7,3,1,11,7,1,1
6.49,85,72,5,1,7,25,5,4,1
7.83,89,56,5,3,6,32,1,1,1
7.38,83,63,9,3,2,27,1,1,1
8.32,98,73,9,2,7,8,9,8,1
9.68,82,67,9,0,1,11,5,2,1
8.66,84,97,6,3,4,4,1,1,1
6.07,60,82,6,4,6,27,7,8,1
5.16,62,80,5,0,6,34,9,4,0
6.31,82,78,9,1,6,4,1,3,1
7.98,94,61,8,2,3,33,4,4,1
5.26,55,88,7,1,2,33,3,5,1
7.48,86,56,7,1,4,12,5,1,1
7.98,92,73,6,0,4,13,7,1,1
6.67,99,45,5,1,6,10,8,3,1
8.85,54,85,4,3,4,3,2,6,0
5.53,64,45,3,1,2,32,7,1,0
5.38,75,73,3,2,2,6,1,2,0
8.64,50,40,6,2,5,7,7,7,0
7.48,90,49,4,4,7,9,8,1,1
8.44,54,60,6,2,7,14,2,7,1
7.17,43,44,3,1,5,14,9,4,0
6.23,60,41,4,2,1,4,1,6,0
9.1,52,61,9,0,7,28,6,8,1
9.0,61,87,5,2,2,18,1,9,1
8.47,58,96,7,3,2,9,3,6,1
6.36,73,41,2,0,7,11,6,9,0
7.95,53,49,5,4,2,3,3,4,0
6.8,43,73,9,3,5,30,8,6,1
5.46,87,55,3,1,6,17,5,8,0
9.59,92,87,9,1,6,15,2,9,1
5.68,91,90,6,1,4,35,4,3,1
9.75,85,78,4,3,6,24,9,2,1
7.23,66,61,7,3,3,22,4,6,1
